alignment,aln_length,avg_identity
FBgn0085222_2R_17510250_17511394,60,29.0
FBgn0262621_2L_3702098_3702248,60,27.0
FBgn0030858_X_17652760_17652923,60,35.0
FBgn0011273_3R_25813057_25813134,44,34.0
FBgn0038217_3R_14260207_14260313,60,35.0
FBgn0029693_X_4097591_4098206,60,31.0
FBgn0036024_3L_9641793_9641913,60,30.0
FBgn0028878_2L_15112881_15113092,60,35.0
FBgn0033498_2R_10246070_10246367,60,18.0
FBgn0037170_3L_22551838_22552019,60,14.0
FBgn0020377_2R_12208892_12209068,60,35.0
FBgn0004592_3L_15654471_15654628,60,35.0
FBgn0267326_2L_7713808_7713991,60,17.0
FBgn0036529_3L_15686236_15686598,60,28.0
FBgn0025632_X_2054912_2055414,60,31.0
FBgn0020767_2R_14759645_14761792,60,18.0
FBgn0030406_X_12609976_12610467,60,27.0
FBgn0036610_3L_16329369_16329534,60,21.0
FBgn0050278_2R_22217284_22217550,60,30.0
FBgn0263110_3L_4222559_4224003,60,34.0
FBgn0039118_3R_23772997_23773168,60,19.0
FBgn0032052_2L_8516582_8516755,60,15.0
FBgn0263106_3L_5750028_5750621,60,30.0
FBgn0030963_X_18831767_18832123,60,15.0
FBgn0037687_3R_9402440_9402618,60,14.0
FBgn0039073_3R_23361888_23362167,60,30.0
FBgn0032192_2L_10207084_10207343,60,15.0
FBgn0032017_2L_8309875_8310061,60,18.0
FBgn0031169_X_21292100_21292458,60,9.0
FBgn0037222_3R_4241044_4241165,60,2.0
FBgn0035488_3L_4037522_4038491,60,28.0
FBgn0039612_3R_28878023_28878113,57,13.0
FBgn0051198_3R_21757619_21757758,60,35.0
FBgn0040028_X_21605883_21606127,60,0.0
FBgn0038257_3R_14745900_14746188,60,26.0
FBgn0037396_3R_6025825_6026224,60,27.0
FBgn0047135_3L_3197862_3198353,60,32.0
FBgn0037073_3L_21337908_21338232,60,16.0
FBgn0051779_2L_3693183_3693587,60,5.0
FBgn0031068_X_19749818_19750167,60,33.0
FBgn0039336_3R_25475635_25475794,60,16.0
FBgn0039324_3R_25316460_25316653,60,28.0
FBgn0029878_X_6595634_6595960,60,35.0
FBgn0030342_X_11852691_11852889,60,33.0
FBgn0039197_3R_24382919_24383379,60,34.0
FBgn0033341_2R_8900565_8900682,60,15.0
FBgn0030373_X_12072007_12072244,60,11.0
FBgn0000535_X_14998112_14999242,60,31.0
FBgn0035868_3L_8302363_8302651,60,18.0
